PolBez,Altersgr,GebLand,Geschl,GeimpftGenesen,Bundesland,Anz
0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.008869428539351073
0.0,0.0,0.0,0.0,0.0,0.0,0.024138318176714944
0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.00011227124733355787
0.0,0.0,0.0,1.0,0.6666666666666666,0.0,0.00954305602335242
0.0,0.0,0.0,1.0,0.0,0.0,0.021892893230043786
0.0,0.0,1.0,0.0,0.6666666666666666,0.0,0.00011227124733355787
0.0,0.0,1.0,0.0,0.0,0.0,0.0005613562366677894
0.0,0.0,1.0,1.0,0.0,0.0,0.0004490849893342315
0.0,0.09036144578313253,0.0,0.0,0.3333333333333333,0.0,0.017738857078702146
0.0,0.09036144578313253,0.0,0.0,1.0,0.0,0.015044347142696755
0.0,0.09036144578313253,0.0,0.0,0.6666666666666666,0.0,0.02155607948804311
0.0,0.09036144578313253,0.0,0.0,0.0,0.0,0.018749298304704166
0.0,0.09036144578313253,0.0,1.0,0.3333333333333333,0.0,0.01425844841136185
0.0,0.09036144578313253,0.0,1.0,1.0,0.0,0.014146177164028292
0.0,0.09036144578313253,0.0,1.0,0.6666666666666666,0.0,0.019198383294038397
0.0,0.09036144578313253,0.0,1.0,0.0,0.0,0.018300213315369934
0.0,0.09036144578313253,1.0,0.0,0.3333333333333333,0.0,0.0015717974626698102
0.0,0.09036144578313253,1.0,0.0,1.0,0.0,0.0004490849893342315
0.0,0.09036144578313253,1.0,0.0,0.6666666666666666,0.0,0.004490849893342315
0.0,0.09036144578313253,1.0,0.0,0.0,0.0,0.0038172224093409677
0.0,0.09036144578313253,1.0,1.0,0.3333333333333333,0.0,0.001796339957336926
0.0,0.09036144578313253,1.0,1.0,1.0,0.0,0.0003368137420006736
0.0,0.09036144578313253,1.0,1.0,0.6666666666666666,0.0,0.00370495116200741
0.0,0.09036144578313253,1.0,1.0,0.0,0.0,0.002582238688671831
0.0,0.21084337349397592,0.0,0.0,0.3333333333333333,0.0,0.028292354328056584
0.0,0.21084337349397592,0.0,0.0,1.0,0.0,0.019310654541371954
0.0,0.21084337349397592,0.0,0.0,0.6666666666666666,0.0,0.014033905916694735
0.0,0.21084337349397592,0.0,0.0,0.0,0.0,0.008195801055349726
0.0,0.21084337349397592,0.0,1.0,0.3333333333333333,0.0,0.025710115639384752
0.0,0.21084337349397592,0.0,1.0,1.0,0.0,0.02380150443471427
0.0,0.21084337349397592,0.0,1.0,0.6666666666666666,0.0,0.011451667228022903
0.0,0.21084337349397592,0.0,1.0,0.0,0.0,0.005950376108678567
0.0,0.21084337349397592,1.0,0.0,0.3333333333333333,0.0,0.004603121140675873
0.0,0.21084337349397592,1.0,0.0,1.0,0.0,0.002469967441338273
0.0,0.21084337349397592,1.0,0.0,0.6666666666666666,0.0,0.0023576961940047153
0.0,0.21084337349397592,1.0,0.0,0.0,0.0,0.0031435949253396205
0.0,0.21084337349397592,1.0,1.0,0.3333333333333333,0.0,0.0021331536993375996
0.0,0.21084337349397592,1.0,1.0,1.0,0.0,0.0023576961940047153
0.0,0.21084337349397592,1.0,1.0,0.6666666666666666,0.0,0.003592679914673852
0.0,0.21084337349397592,1.0,1.0,0.0,0.0,0.0013472549680026945
0.0,0.3313253012048193,0.0,0.0,0.3333333333333333,0.0,0.03334456045806669
0.0,0.3313253012048193,0.0,0.0,1.0,0.0,0.023689233187380712
0.0,0.3313253012048193,0.0,0.0,0.6666666666666666,0.0,0.013135735938026272
0.0,0.3313253012048193,0.0,0.0,0.0,0.0,0.010665768496687999
0.0,0.3313253012048193,0.0,1.0,0.3333333333333333,0.0,0.028741439317390816
0.0,0.3313253012048193,0.0,1.0,1.0,0.0,0.02593465813405187
0.0,0.3313253012048193,0.0,1.0,0.6666666666666666,0.0,0.011227124733355787
0.0,0.3313253012048193,0.0,1.0,0.0,0.0,0.006287189850679241
0.0,0.3313253012048193,1.0,0.0,0.3333333333333333,0.0,0.006174918603345683
0.0,0.3313253012048193,1.0,0.0,1.0,0.0,0.002469967441338273
0.0,0.3313253012048193,1.0,0.0,0.6666666666666666,0.0,0.0020208824520040417
0.0,0.3313253012048193,1.0,0.0,0.0,0.0,0.006062647356012125
0.0,0.3313253012048193,1.0,1.0,0.3333333333333333,0.0,0.009992141012686652
0.0,0.3313253012048193,1.0,1.0,1.0,0.0,0.0040417649040080834
0.0,0.3313253012048193,1.0,1.0,0.6666666666666666,0.0,0.004715392388009431
0.0,0.3313253012048193,1.0,1.0,0.0,0.0,0.006062647356012125
0.0,0.45180722891566266,0.0,0.0,0.3333333333333333,0.0,0.03749859660940833
0.0,0.45180722891566266,0.0,0.0,1.0,0.0,0.024026046929381387
0.0,0.45180722891566266,0.0,0.0,0.6666666666666666,0.0,0.00954305602335242
0.0,0.45180722891566266,0.0,0.0,0.0,0.0,0.008757157292017514
0.0,0.45180722891566266,0.0,1.0,0.3333333333333333,0.0,0.033681374200067365
0.0,0.45180722891566266,0.0,1.0,1.0,0.0,0.02952733804872572
0.0,0.45180722891566266,0.0,1.0,0.6666666666666666,0.0,0.009767598518019536
0.0,0.45180722891566266,0.0,1.0,0.0,0.0,0.008308072302683283
0.0,0.45180722891566266,1.0,0.0,0.3333333333333333,0.0,0.012013023464690693
0.0,0.45180722891566266,1.0,0.0,1.0,0.0,0.00370495116200741
0.0,0.45180722891566266,1.0,0.0,0.6666666666666666,0.0,0.006062647356012125
0.0,0.45180722891566266,1.0,0.0,0.0,0.0,0.0075221735713483775
0.0,0.45180722891566266,1.0,1.0,0.3333333333333333,0.0,0.01425844841136185
0.0,0.45180722891566266,1.0,1.0,1.0,0.0,0.008308072302683283
0.0,0.45180722891566266,1.0,1.0,0.6666666666666666,0.0,0.007185359829347704
0.0,0.45180722891566266,1.0,1.0,0.0,0.0,0.008420343550016841
0.0,0.572289156626506,0.0,0.0,0.3333333333333333,0.0,0.049511620074099025
