Bundesland,Bildung,Altersgr,ErwerbStatus,GeimpftGenesen,Anz
2,2,39.5,1,2,6474
2,2,39.5,1,0,6086
2,2,39.5,0,1,1822
2,2,39.5,0,3,438
2,2,39.5,0,2,1161
2,2,39.5,0,0,1660
2,2,49.5,1,1,17969
2,2,49.5,1,3,6235
2,2,49.5,1,2,5773
2,2,49.5,1,0,6747
2,2,49.5,0,1,3593
2,2,49.5,0,3,661
2,2,49.5,0,2,988
2,2,49.5,0,0,2024
2,2,59.5,1,1,16305
2,2,59.5,1,3,4705
2,2,59.5,1,2,3183
2,2,59.5,1,0,4590
2,2,59.5,0,1,16880
2,2,59.5,0,3,2846
2,2,59.5,0,2,2228
2,2,59.5,0,0,5005
2,3,29.5,1,1,4023
2,3,29.5,1,3,2136
2,3,29.5,1,2,2370
2,3,29.5,1,0,2119
2,3,29.5,0,1,943
2,3,29.5,0,3,350
2,3,29.5,0,2,624
2,3,29.5,0,0,725
2,3,39.5,1,1,4360
2,3,39.5,1,3,2284
2,3,39.5,1,2,2336
2,3,39.5,1,0,2038
2,3,39.5,0,1,565
2,3,39.5,0,3,191
2,3,39.5,0,2,347
2,3,39.5,0,0,458
2,3,49.5,1,1,5305
2,3,49.5,1,3,2295
2,3,49.5,1,2,1492
2,3,49.5,1,0,1595
2,3,49.5,0,1,633
2,3,49.5,0,3,144
2,3,49.5,0,2,173
2,3,49.5,0,0,360
2,3,59.5,1,1,4377
2,3,59.5,1,3,1454
2,3,59.5,1,2,643
2,3,59.5,1,0,982
2,3,59.5,0,1,2440
2,3,59.5,0,3,423
2,3,59.5,0,2,259
2,3,59.5,0,0,629
2,4,29.5,1,1,3926
2,4,29.5,1,3,2556
2,4,29.5,1,2,1710
2,4,29.5,1,0,1407
2,4,29.5,0,1,793
2,4,29.5,0,3,360
2,4,29.5,0,2,510
2,4,29.5,0,0,556
2,4,39.5,1,1,5253
2,4,39.5,1,3,3374
2,4,39.5,1,2,2092
2,4,39.5,1,0,1740
2,4,39.5,0,1,681
2,4,39.5,0,3,240
2,4,39.5,0,2,363
2,4,39.5,0,0,472
2,4,49.5,1,1,5689
2,4,49.5,1,3,2874
2,4,49.5,1,2,1386
2,4,49.5,1,0,1376
2,4,49.5,0,1,501
2,4,49.5,0,3,85
2,4,49.5,0,2,126
2,4,49.5,0,0,275
2,4,59.5,1,1,5190
2,4,59.5,1,3,2037
2,4,59.5,1,2,614
2,4,59.5,1,0,829
2,4,59.5,0,1,1482
2,4,59.5,0,3,299
2,4,59.5,0,2,163
2,4,59.5,0,0,375
2,0,29.5,1,1,8
2,0,29.5,1,3,1
2,0,29.5,1,2,2
2,0,29.5,1,0,6
2,0,29.5,0,1,8
2,0,29.5,0,3,1
2,0,29.5,0,2,4
