C-B00-0;C-BILIMST-0;C-ALTGRIMST-0;C-ESIMST-0;C-IMST-0;F-DATA
B00-1;BILIMST-3;ALT10IMST-4;ESIMST-2;IMST-2;277
B00-1;BILIMST-3;ALT10IMST-4;ESIMST-2;IMST-3;231
B00-1;BILIMST-3;ALT10IMST-4;ESIMST-2;IMST-4;235
B00-1;BILIMST-3;ALT10IMST-5;ESIMST-1;IMST-1;2646
B00-1;BILIMST-3;ALT10IMST-5;ESIMST-1;IMST-2;2160
B00-1;BILIMST-3;ALT10IMST-5;ESIMST-1;IMST-3;1015
B00-1;BILIMST-3;ALT10IMST-5;ESIMST-1;IMST-4;739
B00-1;BILIMST-3;ALT10IMST-5;ESIMST-2;IMST-1;355
B00-1;BILIMST-3;ALT10IMST-5;ESIMST-2;IMST-2;178
B00-1;BILIMST-3;ALT10IMST-5;ESIMST-2;IMST-3;199
B00-1;BILIMST-3;ALT10IMST-5;ESIMST-2;IMST-4;237
B00-1;BILIMST-3;ALT10IMST-6;ESIMST-1;IMST-1;3459
B00-1;BILIMST-3;ALT10IMST-6;ESIMST-1;IMST-2;2025
B00-1;BILIMST-3;ALT10IMST-6;ESIMST-1;IMST-3;711
B00-1;BILIMST-3;ALT10IMST-6;ESIMST-1;IMST-4;651
B00-1;BILIMST-3;ALT10IMST-6;ESIMST-2;IMST-1;345
B00-1;BILIMST-3;ALT10IMST-6;ESIMST-2;IMST-2;110
B00-1;BILIMST-3;ALT10IMST-6;ESIMST-2;IMST-3;102
B00-1;BILIMST-3;ALT10IMST-6;ESIMST-2;IMST-4;174
B00-1;BILIMST-3;ALT10IMST-7;ESIMST-1;IMST-1;2541
B00-1;BILIMST-3;ALT10IMST-7;ESIMST-1;IMST-2;1040
B00-1;BILIMST-3;ALT10IMST-7;ESIMST-1;IMST-3;289
B00-1;BILIMST-3;ALT10IMST-7;ESIMST-1;IMST-4;400
B00-1;BILIMST-3;ALT10IMST-7;ESIMST-2;IMST-1;1292
B00-1;BILIMST-3;ALT10IMST-7;ESIMST-2;IMST-2;346
B00-1;BILIMST-3;ALT10IMST-7;ESIMST-2;IMST-3;111
B00-1;BILIMST-3;ALT10IMST-7;ESIMST-2;IMST-4;342
B00-1;BILIMST-4;ALT10IMST-4;ESIMST-1;IMST-1;2074
B00-1;BILIMST-4;ALT10IMST-4;ESIMST-1;IMST-2;1872
B00-1;BILIMST-4;ALT10IMST-4;ESIMST-1;IMST-3;567
B00-1;BILIMST-4;ALT10IMST-4;ESIMST-1;IMST-4;358
B00-1;BILIMST-4;ALT10IMST-4;ESIMST-2;IMST-1;387
B00-1;BILIMST-4;ALT10IMST-4;ESIMST-2;IMST-2;226
B00-1;BILIMST-4;ALT10IMST-4;ESIMST-2;IMST-3;170
B00-1;BILIMST-4;ALT10IMST-4;ESIMST-2;IMST-4;139
B00-1;BILIMST-4;ALT10IMST-5;ESIMST-1;IMST-1;2558
B00-1;BILIMST-4;ALT10IMST-5;ESIMST-1;IMST-2;2336
B00-1;BILIMST-4;ALT10IMST-5;ESIMST-1;IMST-3;759
B00-1;BILIMST-4;ALT10IMST-5;ESIMST-1;IMST-4;507
B00-1;BILIMST-4;ALT10IMST-5;ESIMST-2;IMST-1;353
B00-1;BILIMST-4;ALT10IMST-5;ESIMST-2;IMST-2;175
B00-1;BILIMST-4;ALT10IMST-5;ESIMST-2;IMST-3;164
B00-1;BILIMST-4;ALT10IMST-5;ESIMST-2;IMST-4;206
B00-1;BILIMST-4;ALT10IMST-6;ESIMST-1;IMST-1;2778
B00-1;BILIMST-4;ALT10IMST-6;ESIMST-1;IMST-2;1922
B00-1;BILIMST-4;ALT10IMST-6;ESIMST-1;IMST-3;498
B00-1;BILIMST-4;ALT10IMST-6;ESIMST-1;IMST-4;435
B00-1;BILIMST-4;ALT10IMST-6;ESIMST-2;IMST-1;203
B00-1;BILIMST-4;ALT10IMST-6;ESIMST-2;IMST-2;60
B00-1;BILIMST-4;ALT10IMST-6;ESIMST-2;IMST-3;57
B00-1;BILIMST-4;ALT10IMST-6;ESIMST-2;IMST-4;98
B00-1;BILIMST-4;ALT10IMST-7;ESIMST-1;IMST-1;2335
B00-1;BILIMST-4;ALT10IMST-7;ESIMST-1;IMST-2;1120
B00-1;BILIMST-4;ALT10IMST-7;ESIMST-1;IMST-3;216
B00-1;BILIMST-4;ALT10IMST-7;ESIMST-1;IMST-4;290
B00-1;BILIMST-4;ALT10IMST-7;ESIMST-2;IMST-1;619
B00-1;BILIMST-4;ALT10IMST-7;ESIMST-2;IMST-2;143
B00-1;BILIMST-4;ALT10IMST-7;ESIMST-2;IMST-3;52
B00-1;BILIMST-4;ALT10IMST-7;ESIMST-2;IMST-4;162
B00-1;BILIMST-99;ALT10IMST-4;ESIMST-1;IMST-2;3
B00-1;BILIMST-99;ALT10IMST-4;ESIMST-1;IMST-4;1
B00-1;BILIMST-99;ALT10IMST-4;ESIMST-2;IMST-1;8
B00-1;BILIMST-99;ALT10IMST-4;ESIMST-2;IMST-3;1
B00-1;BILIMST-99;ALT10IMST-4;ESIMST-2;IMST-4;4
B00-1;BILIMST-99;ALT10IMST-5;ESIMST-1;IMST-1;3
B00-1;BILIMST-99;ALT10IMST-5;ESIMST-1;IMST-3;2
