C-B00-0;C-BILIMST-0;C-ALTGRIMST-0;C-ESIMST-0;C-IMST-0;F-DATA
B00-3;BILIMST-2;ALT10IMST-5;ESIMST-1;IMST-2;20134
B00-3;BILIMST-2;ALT10IMST-5;ESIMST-1;IMST-3;18503
B00-3;BILIMST-2;ALT10IMST-5;ESIMST-1;IMST-4;13023
B00-3;BILIMST-2;ALT10IMST-5;ESIMST-2;IMST-1;4442
B00-3;BILIMST-2;ALT10IMST-5;ESIMST-2;IMST-2;1699
B00-3;BILIMST-2;ALT10IMST-5;ESIMST-2;IMST-3;2725
B00-3;BILIMST-2;ALT10IMST-5;ESIMST-2;IMST-4;3016
B00-3;BILIMST-2;ALT10IMST-6;ESIMST-1;IMST-1;55581
B00-3;BILIMST-2;ALT10IMST-6;ESIMST-1;IMST-2;27476
B00-3;BILIMST-2;ALT10IMST-6;ESIMST-1;IMST-3;16443
B00-3;BILIMST-2;ALT10IMST-6;ESIMST-1;IMST-4;14807
B00-3;BILIMST-2;ALT10IMST-6;ESIMST-2;IMST-1;7563
B00-3;BILIMST-2;ALT10IMST-6;ESIMST-2;IMST-2;1895
B00-3;BILIMST-2;ALT10IMST-6;ESIMST-2;IMST-3;2046
B00-3;BILIMST-2;ALT10IMST-6;ESIMST-2;IMST-4;3463
B00-3;BILIMST-2;ALT10IMST-7;ESIMST-1;IMST-1;49874
B00-3;BILIMST-2;ALT10IMST-7;ESIMST-1;IMST-2;19878
B00-3;BILIMST-2;ALT10IMST-7;ESIMST-1;IMST-3;8195
B00-3;BILIMST-2;ALT10IMST-7;ESIMST-1;IMST-4;10028
B00-3;BILIMST-2;ALT10IMST-7;ESIMST-2;IMST-1;41357
B00-3;BILIMST-2;ALT10IMST-7;ESIMST-2;IMST-2;10022
B00-3;BILIMST-2;ALT10IMST-7;ESIMST-2;IMST-3;4444
B00-3;BILIMST-2;ALT10IMST-7;ESIMST-2;IMST-4;9371
B00-3;BILIMST-3;ALT10IMST-4;ESIMST-1;IMST-1;13999
B00-3;BILIMST-3;ALT10IMST-4;ESIMST-1;IMST-2;10645
B00-3;BILIMST-3;ALT10IMST-4;ESIMST-1;IMST-3;6226
B00-3;BILIMST-3;ALT10IMST-4;ESIMST-1;IMST-4;3955
B00-3;BILIMST-3;ALT10IMST-4;ESIMST-2;IMST-1;2868
B00-3;BILIMST-3;ALT10IMST-4;ESIMST-2;IMST-2;1613
B00-3;BILIMST-3;ALT10IMST-4;ESIMST-2;IMST-3;1703
B00-3;BILIMST-3;ALT10IMST-4;ESIMST-2;IMST-4;1535
B00-3;BILIMST-3;ALT10IMST-5;ESIMST-1;IMST-1;15064
B00-3;BILIMST-3;ALT10IMST-5;ESIMST-1;IMST-2;11177
B00-3;BILIMST-3;ALT10IMST-5;ESIMST-1;IMST-3;6097
B00-3;BILIMST-3;ALT10IMST-5;ESIMST-1;IMST-4;3993
B00-3;BILIMST-3;ALT10IMST-5;ESIMST-2;IMST-1;1859
B00-3;BILIMST-3;ALT10IMST-5;ESIMST-2;IMST-2;985
B00-3;BILIMST-3;ALT10IMST-5;ESIMST-2;IMST-3;1026
B00-3;BILIMST-3;ALT10IMST-5;ESIMST-2;IMST-4;1064
B00-3;BILIMST-3;ALT10IMST-6;ESIMST-1;IMST-1;19003
B00-3;BILIMST-3;ALT10IMST-6;ESIMST-1;IMST-2;10972
B00-3;BILIMST-3;ALT10IMST-6;ESIMST-1;IMST-3;4373
B00-3;BILIMST-3;ALT10IMST-6;ESIMST-1;IMST-4;3499
B00-3;BILIMST-3;ALT10IMST-6;ESIMST-2;IMST-1;1868
B00-3;BILIMST-3;ALT10IMST-6;ESIMST-2;IMST-2;567
B00-3;BILIMST-3;ALT10IMST-6;ESIMST-2;IMST-3;502
B00-3;BILIMST-3;ALT10IMST-6;ESIMST-2;IMST-4;836
B00-3;BILIMST-3;ALT10IMST-7;ESIMST-1;IMST-1;14802
B00-3;BILIMST-3;ALT10IMST-7;ESIMST-1;IMST-2;6301
B00-3;BILIMST-3;ALT10IMST-7;ESIMST-1;IMST-3;1823
B00-3;BILIMST-3;ALT10IMST-7;ESIMST-1;IMST-4;2183
B00-3;BILIMST-3;ALT10IMST-7;ESIMST-2;IMST-1;6637
B00-3;BILIMST-3;ALT10IMST-7;ESIMST-2;IMST-2;1616
B00-3;BILIMST-3;ALT10IMST-7;ESIMST-2;IMST-3;605
B00-3;BILIMST-3;ALT10IMST-7;ESIMST-2;IMST-4;1526
B00-3;BILIMST-4;ALT10IMST-4;ESIMST-1;IMST-1;12648
B00-3;BILIMST-4;ALT10IMST-4;ESIMST-1;IMST-2;11199
B00-3;BILIMST-4;ALT10IMST-4;ESIMST-1;IMST-3;3465
B00-3;BILIMST-4;ALT10IMST-4;ESIMST-1;IMST-4;2260
B00-3;BILIMST-4;ALT10IMST-4;ESIMST-2;IMST-1;2682
B00-3;BILIMST-4;ALT10IMST-4;ESIMST-2;IMST-2;1506
B00-3;BILIMST-4;ALT10IMST-4;ESIMST-2;IMST-3;1120
B00-3;BILIMST-4;ALT10IMST-4;ESIMST-2;IMST-4;1100
B00-3;BILIMST-4;ALT10IMST-5;ESIMST-1;IMST-1;16528
B00-3;BILIMST-4;ALT10IMST-5;ESIMST-1;IMST-2;14202
B00-3;BILIMST-4;ALT10IMST-5;ESIMST-1;IMST-3;4589
B00-3;BILIMST-4;ALT10IMST-5;ESIMST-1;IMST-4;3270
B00-3;BILIMST-4;ALT10IMST-5;ESIMST-2;IMST-1;2242
B00-3;BILIMST-4;ALT10IMST-5;ESIMST-2;IMST-2;1195
B00-3;BILIMST-4;ALT10IMST-5;ESIMST-2;IMST-3;951
B00-3;BILIMST-4;ALT10IMST-5;ESIMST-2;IMST-4;933
B00-3;BILIMST-4;ALT10IMST-6;ESIMST-1;IMST-1;18926
B00-3;BILIMST-4;ALT10IMST-6;ESIMST-1;IMST-2;12576
B00-3;BILIMST-4;ALT10IMST-6;ESIMST-1;IMST-3;3555
B00-3;BILIMST-4;ALT10IMST-6;ESIMST-1;IMST-4;2819
B00-3;BILIMST-4;ALT10IMST-6;ESIMST-2;IMST-1;1234
B00-3;BILIMST-4;ALT10IMST-6;ESIMST-2;IMST-2;453
B00-3;BILIMST-4;ALT10IMST-6;ESIMST-2;IMST-3;343
B00-3;BILIMST-4;ALT10IMST-6;ESIMST-2;IMST-4;561
B00-3;BILIMST-4;ALT10IMST-7;ESIMST-1;IMST-1;15181
B00-3;BILIMST-4;ALT10IMST-7;ESIMST-1;IMST-2;7329
B00-3;BILIMST-4;ALT10IMST-7;ESIMST-1;IMST-3;1537
B00-3;BILIMST-4;ALT10IMST-7;ESIMST-1;IMST-4;1815
B00-3;BILIMST-4;ALT10IMST-7;ESIMST-2;IMST-1;3829
B00-3;BILIMST-4;ALT10IMST-7;ESIMST-2;IMST-2;1091
B00-3;BILIMST-4;ALT10IMST-7;ESIMST-2;IMST-3;378
B00-3;BILIMST-4;ALT10IMST-7;ESIMST-2;IMST-4;887
B00-3;BILIMST-99;ALT10IMST-4;ESIMST-1;IMST-1;13
B00-3;BILIMST-99;ALT10IMST-4;ESIMST-1;IMST-2;6
B00-3;BILIMST-99;ALT10IMST-4;ESIMST-1;IMST-3;3
B00-3;BILIMST-99;ALT10IMST-4;ESIMST-1;IMST-4;12
B00-3;BILIMST-99;ALT10IMST-4;ESIMST-2;IMST-1;27
B00-3;BILIMST-99;ALT10IMST-4;ESIMST-2;IMST-2;7
B00-3;BILIMST-99;ALT10IMST-4;ESIMST-2;IMST-3;9
B00-3;BILIMST-99;ALT10IMST-4;ESIMST-2;IMST-4;31
B00-3;BILIMST-99;ALT10IMST-5;ESIMST-1;IMST-1;7
B00-3;BILIMST-99;ALT10IMST-5;ESIMST-1;IMST-2;2
B00-3;BILIMST-99;ALT10IMST-5;ESIMST-1;IMST-3;2
B00-3;BILIMST-99;ALT10IMST-5;ESIMST-1;IMST-4;11
B00-3;BILIMST-99;ALT10IMST-5;ESIMST-2;IMST-1;9
B00-3;BILIMST-99;ALT10IMST-5;ESIMST-2;IMST-2;4
B00-3;BILIMST-99;ALT10IMST-5;ESIMST-2;IMST-3;4
B00-3;BILIMST-99;ALT10IMST-5;ESIMST-2;IMST-4;17
B00-3;BILIMST-99;ALT10IMST-6;ESIMST-1;IMST-1;8
B00-3;BILIMST-99;ALT10IMST-6;ESIMST-1;IMST-3;2
B00-3;BILIMST-99;ALT10IMST-6;ESIMST-1;IMST-4;10
B00-3;BILIMST-99;ALT10IMST-6;ESIMST-2;IMST-1;13
B00-3;BILIMST-99;ALT10IMST-6;ESIMST-2;IMST-3;3
B00-3;BILIMST-99;ALT10IMST-6;ESIMST-2;IMST-4;9
B00-3;BILIMST-99;ALT10IMST-7;ESIMST-1;IMST-1;4
B00-3;BILIMST-99;ALT10IMST-7;ESIMST-1;IMST-4;7
B00-3;BILIMST-99;ALT10IMST-7;ESIMST-2;IMST-1;8
B00-3;BILIMST-99;ALT10IMST-7;ESIMST-2;IMST-2;1
B00-3;BILIMST-99;ALT10IMST-7;ESIMST-2;IMST-3;1
B00-3;BILIMST-99;ALT10IMST-7;ESIMST-2;IMST-4;9
B00-4;BILIMST-1;ALT10IMST-4;ESIMST-1;IMST-1;5668
B00-4;BILIMST-1;ALT10IMST-4;ESIMST-1;IMST-2;1995
B00-4;BILIMST-1;ALT10IMST-4;ESIMST-1;IMST-3;5355
B00-4;BILIMST-1;ALT10IMST-4;ESIMST-1;IMST-4;6110
B00-4;BILIMST-1;ALT10IMST-4;ESIMST-2;IMST-1;3070
B00-4;BILIMST-1;ALT10IMST-4;ESIMST-2;IMST-2;851
B00-4;BILIMST-1;ALT10IMST-4;ESIMST-2;IMST-3;2410
B00-4;BILIMST-1;ALT10IMST-4;ESIMST-2;IMST-4;3983
B00-4;BILIMST-1;ALT10IMST-5;ESIMST-1;IMST-1;7891
B00-4;BILIMST-1;ALT10IMST-5;ESIMST-1;IMST-2;3019
B00-4;BILIMST-1;ALT10IMST-5;ESIMST-1;IMST-3;5747
B00-4;BILIMST-1;ALT10IMST-5;ESIMST-1;IMST-4;6091
B00-4;BILIMST-1;ALT10IMST-5;ESIMST-2;IMST-1;2889
B00-4;BILIMST-1;ALT10IMST-5;ESIMST-2;IMST-2;780
B00-4;BILIMST-1;ALT10IMST-5;ESIMST-2;IMST-3;1773
B00-4;BILIMST-1;ALT10IMST-5;ESIMST-2;IMST-4;2733
B00-4;BILIMST-1;ALT10IMST-6;ESIMST-1;IMST-1;11619
B00-4;BILIMST-1;ALT10IMST-6;ESIMST-1;IMST-2;3994
B00-4;BILIMST-1;ALT10IMST-6;ESIMST-1;IMST-3;5025
B00-4;BILIMST-1;ALT10IMST-6;ESIMST-1;IMST-4;6248
B00-4;BILIMST-1;ALT10IMST-6;ESIMST-2;IMST-1;3981
B00-4;BILIMST-1;ALT10IMST-6;ESIMST-2;IMST-2;903
B00-4;BILIMST-1;ALT10IMST-6;ESIMST-2;IMST-3;1158
B00-4;BILIMST-1;ALT10IMST-6;ESIMST-2;IMST-4;2442
B00-4;BILIMST-1;ALT10IMST-7;ESIMST-1;IMST-1;10857
B00-4;BILIMST-1;ALT10IMST-7;ESIMST-1;IMST-2;3196
B00-4;BILIMST-1;ALT10IMST-7;ESIMST-1;IMST-3;2668
B00-4;BILIMST-1;ALT10IMST-7;ESIMST-1;IMST-4;3830
B00-4;BILIMST-1;ALT10IMST-7;ESIMST-2;IMST-1;14262
B00-4;BILIMST-1;ALT10IMST-7;ESIMST-2;IMST-2;2678
B00-4;BILIMST-1;ALT10IMST-7;ESIMST-2;IMST-3;2278
B00-4;BILIMST-1;ALT10IMST-7;ESIMST-2;IMST-4;5237
B00-4;BILIMST-2;ALT10IMST-4;ESIMST-1;IMST-1;22088
B00-4;BILIMST-2;ALT10IMST-4;ESIMST-1;IMST-2;12216
B00-4;BILIMST-2;ALT10IMST-4;ESIMST-1;IMST-3;22426
B00-4;BILIMST-2;ALT10IMST-4;ESIMST-1;IMST-4;17286
B00-4;BILIMST-2;ALT10IMST-4;ESIMST-2;IMST-1;3927
B00-4;BILIMST-2;ALT10IMST-4;ESIMST-2;IMST-2;1643
B00-4;BILIMST-2;ALT10IMST-4;ESIMST-2;IMST-3;4541
B00-4;BILIMST-2;ALT10IMST-4;ESIMST-2;IMST-4;4422
B00-4;BILIMST-2;ALT10IMST-5;ESIMST-1;IMST-1;27477
B00-4;BILIMST-2;ALT10IMST-5;ESIMST-1;IMST-2;16047
B00-4;BILIMST-2;ALT10IMST-5;ESIMST-1;IMST-3;22040
B00-4;BILIMST-2;ALT10IMST-5;ESIMST-1;IMST-4;16923
B00-4;BILIMST-2;ALT10IMST-5;ESIMST-2;IMST-1;3328
B00-4;BILIMST-2;ALT10IMST-5;ESIMST-2;IMST-2;1235
B00-4;BILIMST-2;ALT10IMST-5;ESIMST-2;IMST-3;2641
B00-4;BILIMST-2;ALT10IMST-5;ESIMST-2;IMST-4;3035
B00-4;BILIMST-2;ALT10IMST-6;ESIMST-1;IMST-1;44554
B00-4;BILIMST-2;ALT10IMST-6;ESIMST-1;IMST-2;20437
B00-4;BILIMST-2;ALT10IMST-6;ESIMST-1;IMST-3;18526
B00-4;BILIMST-2;ALT10IMST-6;ESIMST-1;IMST-4;17741
B00-4;BILIMST-2;ALT10IMST-6;ESIMST-2;IMST-1;5056
B00-4;BILIMST-2;ALT10IMST-6;ESIMST-2;IMST-2;1108
B00-4;BILIMST-2;ALT10IMST-6;ESIMST-2;IMST-3;1723
B00-4;BILIMST-2;ALT10IMST-6;ESIMST-2;IMST-4;2812
B00-4;BILIMST-2;ALT10IMST-7;ESIMST-1;IMST-1;42594
B00-4;BILIMST-2;ALT10IMST-7;ESIMST-1;IMST-2;16142
B00-4;BILIMST-2;ALT10IMST-7;ESIMST-1;IMST-3;9290
B00-4;BILIMST-2;ALT10IMST-7;ESIMST-1;IMST-4;11851
B00-4;BILIMST-2;ALT10IMST-7;ESIMST-2;IMST-1;32409
B00-4;BILIMST-2;ALT10IMST-7;ESIMST-2;IMST-2;7256
B00-4;BILIMST-2;ALT10IMST-7;ESIMST-2;IMST-3;4354
B00-4;BILIMST-2;ALT10IMST-7;ESIMST-2;IMST-4;8406
B00-4;BILIMST-3;ALT10IMST-4;ESIMST-1;IMST-1;9859
B00-4;BILIMST-3;ALT10IMST-4;ESIMST-1;IMST-2;7049
B00-4;BILIMST-3;ALT10IMST-4;ESIMST-1;IMST-3;6142
B00-4;BILIMST-3;ALT10IMST-4;ESIMST-1;IMST-4;4403
B00-4;BILIMST-3;ALT10IMST-4;ESIMST-2;IMST-1;2363
B00-4;BILIMST-3;ALT10IMST-4;ESIMST-2;IMST-2;1156
B00-4;BILIMST-3;ALT10IMST-4;ESIMST-2;IMST-3;1641
B00-4;BILIMST-3;ALT10IMST-4;ESIMST-2;IMST-4;1636
B00-4;BILIMST-3;ALT10IMST-5;ESIMST-1;IMST-1;9268
B00-4;BILIMST-3;ALT10IMST-5;ESIMST-1;IMST-2;6642
B00-4;BILIMST-3;ALT10IMST-5;ESIMST-1;IMST-3;5672
B00-4;BILIMST-3;ALT10IMST-5;ESIMST-1;IMST-4;3949
B00-4;BILIMST-3;ALT10IMST-5;ESIMST-2;IMST-1;1175
B00-4;BILIMST-3;ALT10IMST-5;ESIMST-2;IMST-2;521
B00-4;BILIMST-3;ALT10IMST-5;ESIMST-2;IMST-3;851
B00-4;BILIMST-3;ALT10IMST-5;ESIMST-2;IMST-4;891
B00-4;BILIMST-3;ALT10IMST-6;ESIMST-1;IMST-1;10638
B00-4;BILIMST-3;ALT10IMST-6;ESIMST-1;IMST-2;5938
B00-4;BILIMST-3;ALT10IMST-6;ESIMST-1;IMST-3;3646
B00-4;BILIMST-3;ALT10IMST-6;ESIMST-1;IMST-4;3172
B00-4;BILIMST-3;ALT10IMST-6;ESIMST-2;IMST-1;1054
B00-4;BILIMST-3;ALT10IMST-6;ESIMST-2;IMST-2;267
B00-4;BILIMST-3;ALT10IMST-6;ESIMST-2;IMST-3;282
B00-4;BILIMST-3;ALT10IMST-6;ESIMST-2;IMST-4;561
B00-4;BILIMST-3;ALT10IMST-7;ESIMST-1;IMST-1;9021
B00-4;BILIMST-3;ALT10IMST-7;ESIMST-1;IMST-2;3585
B00-4;BILIMST-3;ALT10IMST-7;ESIMST-1;IMST-3;1459
B00-4;BILIMST-3;ALT10IMST-7;ESIMST-1;IMST-4;1920
B00-4;BILIMST-3;ALT10IMST-7;ESIMST-2;IMST-1;4138
B00-4;BILIMST-3;ALT10IMST-7;ESIMST-2;IMST-2;898
B00-4;BILIMST-3;ALT10IMST-7;ESIMST-2;IMST-3;452
B00-4;BILIMST-3;ALT10IMST-7;ESIMST-2;IMST-4;1042
B00-4;BILIMST-4;ALT10IMST-4;ESIMST-1;IMST-1;11789
B00-4;BILIMST-4;ALT10IMST-4;ESIMST-1;IMST-2;9550
B00-4;BILIMST-4;ALT10IMST-4;ESIMST-1;IMST-3;4374
B00-4;BILIMST-4;ALT10IMST-4;ESIMST-1;IMST-4;3099
B00-4;BILIMST-4;ALT10IMST-4;ESIMST-2;IMST-1;2231
B00-4;BILIMST-4;ALT10IMST-4;ESIMST-2;IMST-2;1228
B00-4;BILIMST-4;ALT10IMST-4;ESIMST-2;IMST-3;1225
B00-4;BILIMST-4;ALT10IMST-4;ESIMST-2;IMST-4;1359
B00-4;BILIMST-4;ALT10IMST-5;ESIMST-1;IMST-1;13600
B00-4;BILIMST-4;ALT10IMST-5;ESIMST-1;IMST-2;10977
B00-4;BILIMST-4;ALT10IMST-5;ESIMST-1;IMST-3;5084
B00-4;BILIMST-4;ALT10IMST-5;ESIMST-1;IMST-4;3682
B00-4;BILIMST-4;ALT10IMST-5;ESIMST-2;IMST-1;1600
B00-4;BILIMST-4;ALT10IMST-5;ESIMST-2;IMST-2;815
B00-4;BILIMST-4;ALT10IMST-5;ESIMST-2;IMST-3;880
B00-4;BILIMST-4;ALT10IMST-5;ESIMST-2;IMST-4;912
B00-4;BILIMST-4;ALT10IMST-6;ESIMST-1;IMST-1;13124
B00-4;BILIMST-4;ALT10IMST-6;ESIMST-1;IMST-2;8343
B00-4;BILIMST-4;ALT10IMST-6;ESIMST-1;IMST-3;3213
B00-4;BILIMST-4;ALT10IMST-6;ESIMST-1;IMST-4;2835
B00-4;BILIMST-4;ALT10IMST-6;ESIMST-2;IMST-1;800
B00-4;BILIMST-4;ALT10IMST-6;ESIMST-2;IMST-2;219
B00-4;BILIMST-4;ALT10IMST-6;ESIMST-2;IMST-3;227
B00-4;BILIMST-4;ALT10IMST-6;ESIMST-2;IMST-4;436
B00-4;BILIMST-4;ALT10IMST-7;ESIMST-1;IMST-1;11352
B00-4;BILIMST-4;ALT10IMST-7;ESIMST-1;IMST-2;5381
B00-4;BILIMST-4;ALT10IMST-7;ESIMST-1;IMST-3;1333
B00-4;BILIMST-4;ALT10IMST-7;ESIMST-1;IMST-4;1674
B00-4;BILIMST-4;ALT10IMST-7;ESIMST-2;IMST-1;3173
B00-4;BILIMST-4;ALT10IMST-7;ESIMST-2;IMST-2;861
B00-4;BILIMST-4;ALT10IMST-7;ESIMST-2;IMST-3;306
B00-4;BILIMST-4;ALT10IMST-7;ESIMST-2;IMST-4;688
B00-4;BILIMST-99;ALT10IMST-4;ESIMST-1;IMST-1;15
B00-4;BILIMST-99;ALT10IMST-4;ESIMST-1;IMST-2;3
B00-4;BILIMST-99;ALT10IMST-4;ESIMST-1;IMST-3;8
B00-4;BILIMST-99;ALT10IMST-4;ESIMST-1;IMST-4;22
B00-4;BILIMST-99;ALT10IMST-4;ESIMST-2;IMST-1;31
B00-4;BILIMST-99;ALT10IMST-4;ESIMST-2;IMST-2;5
B00-4;BILIMST-99;ALT10IMST-4;ESIMST-2;IMST-3;17
B00-4;BILIMST-99;ALT10IMST-4;ESIMST-2;IMST-4;36
B00-4;BILIMST-99;ALT10IMST-5;ESIMST-1;IMST-1;7
B00-4;BILIMST-99;ALT10IMST-5;ESIMST-1;IMST-2;4
B00-4;BILIMST-99;ALT10IMST-5;ESIMST-1;IMST-3;12
B00-4;BILIMST-99;ALT10IMST-5;ESIMST-1;IMST-4;13
B00-4;BILIMST-99;ALT10IMST-5;ESIMST-2;IMST-1;19
B00-4;BILIMST-99;ALT10IMST-5;ESIMST-2;IMST-2;3
B00-4;BILIMST-99;ALT10IMST-5;ESIMST-2;IMST-3;6
B00-4;BILIMST-99;ALT10IMST-5;ESIMST-2;IMST-4;23
B00-4;BILIMST-99;ALT10IMST-6;ESIMST-1;IMST-1;6
B00-4;BILIMST-99;ALT10IMST-6;ESIMST-1;IMST-2;2
B00-4;BILIMST-99;ALT10IMST-6;ESIMST-1;IMST-3;3
B00-4;BILIMST-99;ALT10IMST-6;ESIMST-1;IMST-4;6
B00-4;BILIMST-99;ALT10IMST-6;ESIMST-2;IMST-1;7
B00-4;BILIMST-99;ALT10IMST-6;ESIMST-2;IMST-3;6
B00-4;BILIMST-99;ALT10IMST-6;ESIMST-2;IMST-4;20
B00-4;BILIMST-99;ALT10IMST-7;ESIMST-1;IMST-4;5
B00-4;BILIMST-99;ALT10IMST-7;ESIMST-2;IMST-1;5
B00-4;BILIMST-99;ALT10IMST-7;ESIMST-2;IMST-2;1
B00-4;BILIMST-99;ALT10IMST-7;ESIMST-2;IMST-3;4
B00-4;BILIMST-99;ALT10IMST-7;ESIMST-2;IMST-4;15
B00-5;BILIMST-1;ALT10IMST-4;ESIMST-1;IMST-1;2358
B00-5;BILIMST-1;ALT10IMST-4;ESIMST-1;IMST-2;879
B00-5;BILIMST-1;ALT10IMST-4;ESIMST-1;IMST-3;1804
B00-5;BILIMST-1;ALT10IMST-4;ESIMST-1;IMST-4;2044
B00-5;BILIMST-1;ALT10IMST-4;ESIMST-2;IMST-1;934
B00-5;BILIMST-1;ALT10IMST-4;ESIMST-2;IMST-2;299
B00-5;BILIMST-1;ALT10IMST-4;ESIMST-2;IMST-3;617
B00-5;BILIMST-1;ALT10IMST-4;ESIMST-2;IMST-4;1007
B00-5;BILIMST-1;ALT10IMST-5;ESIMST-1;IMST-1;3027
B00-5;BILIMST-1;ALT10IMST-5;ESIMST-1;IMST-2;1304
B00-5;BILIMST-1;ALT10IMST-5;ESIMST-1;IMST-3;1912
B00-5;BILIMST-1;ALT10IMST-5;ESIMST-1;IMST-4;2038
B00-5;BILIMST-1;ALT10IMST-5;ESIMST-2;IMST-1;926
B00-5;BILIMST-1;ALT10IMST-5;ESIMST-2;IMST-2;270
B00-5;BILIMST-1;ALT10IMST-5;ESIMST-2;IMST-3;477
B00-5;BILIMST-1;ALT10IMST-5;ESIMST-2;IMST-4;794
B00-5;BILIMST-1;ALT10IMST-6;ESIMST-1;IMST-1;4274
B00-5;BILIMST-1;ALT10IMST-6;ESIMST-1;IMST-2;1483
B00-5;BILIMST-1;ALT10IMST-6;ESIMST-1;IMST-3;1576
B00-5;BILIMST-1;ALT10IMST-6;ESIMST-1;IMST-4;1874
B00-5;BILIMST-1;ALT10IMST-6;ESIMST-2;IMST-1;1201
B00-5;BILIMST-1;ALT10IMST-6;ESIMST-2;IMST-2;318
B00-5;BILIMST-1;ALT10IMST-6;ESIMST-2;IMST-3;348
B00-5;BILIMST-1;ALT10IMST-6;ESIMST-2;IMST-4;732
B00-5;BILIMST-1;ALT10IMST-7;ESIMST-1;IMST-1;3489
B00-5;BILIMST-1;ALT10IMST-7;ESIMST-1;IMST-2;950
B00-5;BILIMST-1;ALT10IMST-7;ESIMST-1;IMST-3;777
B00-5;BILIMST-1;ALT10IMST-7;ESIMST-1;IMST-4;1151
B00-5;BILIMST-1;ALT10IMST-7;ESIMST-2;IMST-1;3784
B00-5;BILIMST-1;ALT10IMST-7;ESIMST-2;IMST-2;741
B00-5;BILIMST-1;ALT10IMST-7;ESIMST-2;IMST-3;553
B00-5;BILIMST-1;ALT10IMST-7;ESIMST-2;IMST-4;1459
B00-5;BILIMST-2;ALT10IMST-4;ESIMST-1;IMST-1;8030
B00-5;BILIMST-2;ALT10IMST-4;ESIMST-1;IMST-2;4367
B00-5;BILIMST-2;ALT10IMST-4;ESIMST-1;IMST-3;6880
B00-5;BILIMST-2;ALT10IMST-4;ESIMST-1;IMST-4;5436
B00-5;BILIMST-2;ALT10IMST-4;ESIMST-2;IMST-1;1331
B00-5;BILIMST-2;ALT10IMST-4;ESIMST-2;IMST-2;548
B00-5;BILIMST-2;ALT10IMST-4;ESIMST-2;IMST-3;1401
B00-5;BILIMST-2;ALT10IMST-4;ESIMST-2;IMST-4;1357
B00-5;BILIMST-2;ALT10IMST-5;ESIMST-1;IMST-1;10335
B00-5;BILIMST-2;ALT10IMST-5;ESIMST-1;IMST-2;6003
B00-5;BILIMST-2;ALT10IMST-5;ESIMST-1;IMST-3;7071
B00-5;BILIMST-2;ALT10IMST-5;ESIMST-1;IMST-4;5648
B00-5;BILIMST-2;ALT10IMST-5;ESIMST-2;IMST-1;1241
B00-5;BILIMST-2;ALT10IMST-5;ESIMST-2;IMST-2;513
B00-5;BILIMST-2;ALT10IMST-5;ESIMST-2;IMST-3;898
B00-5;BILIMST-2;ALT10IMST-5;ESIMST-2;IMST-4;1007
B00-5;BILIMST-2;ALT10IMST-6;ESIMST-1;IMST-1;16970
B00-5;BILIMST-2;ALT10IMST-6;ESIMST-1;IMST-2;7790
B00-5;BILIMST-2;ALT10IMST-6;ESIMST-1;IMST-3;6380
B00-5;BILIMST-2;ALT10IMST-6;ESIMST-1;IMST-4;6270
B00-5;BILIMST-2;ALT10IMST-6;ESIMST-2;IMST-1;1907
B00-5;BILIMST-2;ALT10IMST-6;ESIMST-2;IMST-2;446
B00-5;BILIMST-2;ALT10IMST-6;ESIMST-2;IMST-3;547
B00-5;BILIMST-2;ALT10IMST-6;ESIMST-2;IMST-4;901
B00-5;BILIMST-2;ALT10IMST-7;ESIMST-1;IMST-1;16259
B00-5;BILIMST-2;ALT10IMST-7;ESIMST-1;IMST-2;6060
B00-5;BILIMST-2;ALT10IMST-7;ESIMST-1;IMST-3;3392
B00-5;BILIMST-2;ALT10IMST-7;ESIMST-1;IMST-4;4370
B00-5;BILIMST-2;ALT10IMST-7;ESIMST-2;IMST-1;10726
B00-5;BILIMST-2;ALT10IMST-7;ESIMST-2;IMST-2;2492
B00-5;BILIMST-2;ALT10IMST-7;ESIMST-2;IMST-3;1530
B00-5;BILIMST-2;ALT10IMST-7;ESIMST-2;IMST-4;2635
B00-5;BILIMST-3;ALT10IMST-4;ESIMST-1;IMST-1;4182
B00-5;BILIMST-3;ALT10IMST-4;ESIMST-1;IMST-2;3031
B00-5;BILIMST-3;ALT10IMST-4;ESIMST-1;IMST-3;2831
B00-5;BILIMST-3;ALT10IMST-4;ESIMST-1;IMST-4;2016
B00-5;BILIMST-3;ALT10IMST-4;ESIMST-2;IMST-1;915
B00-5;BILIMST-3;ALT10IMST-4;ESIMST-2;IMST-2;441
B00-5;BILIMST-3;ALT10IMST-4;ESIMST-2;IMST-3;665
B00-5;BILIMST-3;ALT10IMST-4;ESIMST-2;IMST-4;714
B00-5;BILIMST-3;ALT10IMST-5;ESIMST-1;IMST-1;3716
B00-5;BILIMST-3;ALT10IMST-5;ESIMST-1;IMST-2;2682
B00-5;BILIMST-3;ALT10IMST-5;ESIMST-1;IMST-3;2235
B00-5;BILIMST-3;ALT10IMST-5;ESIMST-1;IMST-4;1609
B00-5;BILIMST-3;ALT10IMST-5;ESIMST-2;IMST-1;470
B00-5;BILIMST-3;ALT10IMST-5;ESIMST-2;IMST-2;238
B00-5;BILIMST-3;ALT10IMST-5;ESIMST-2;IMST-3;317
B00-5;BILIMST-3;ALT10IMST-5;ESIMST-2;IMST-4;352
